"id","title","video_url","rights_basis","publish_scope"
"7VC5qbYWSVM","2005 2 26 天下无贼","https://www.youtube.com/watch?v=7VC5qbYWSVM","authorized","public"
"vQxSWn7ra7A","2005 2 14 双唱快板 李菁郭德纲","https://www.youtube.com/watch?v=vQxSWn7ra7A","authorized","public"
"TEBsbnLXZ_w","2005 2 11 富贵图 郭德纲 张文顺","https://www.youtube.com/watch?v=TEBsbnLXZ_w","authorized","public"
"eOc6cG1l9JM","2004 12 4 红事会及返场－郭德纲张永久","https://www.youtube.com/watch?v=eOc6cG1l9JM","authorized","public"
"XnvXqzVcXYg","2004 12 4 双学济南话－郭德纲王文林","https://www.youtube.com/watch?v=XnvXqzVcXYg","authorized","public"
"9qyHpZ9Nzpg","对口郭德纲 李菁－学电台","https://www.youtube.com/watch?v=9qyHpZ9Nzpg","authorized","public"
"sNYDLAu23Mc","郭德纲相声专场上","https://www.youtube.com/watch?v=sNYDLAu23Mc","authorized","public"
"6mvA0cTFhXg","郭德纲相声专场下","https://www.youtube.com/watch?v=6mvA0cTFhXg","authorized","public"
"drvPjRwj2SM","郭德纲 李菁 论梦","https://www.youtube.com/watch?v=drvPjRwj2SM","authorized","public"
"aXKatNXBUuE","郭德纲 张文顺 王文林爆笑相声《大审案》","https://www.youtube.com/watch?v=aXKatNXBUuE","authorized","public"
"8jeN0Dp6LHo","论相声50年之现状","https://www.youtube.com/watch?v=8jeN0Dp6LHo","authorized","public"
"PQy_xgFUBIc","百兽图","https://www.youtube.com/watch?v=PQy_xgFUBIc","authorized","public"
"p8Iw3MsNGFc","栓娃娃","https://www.youtube.com/watch?v=p8Iw3MsNGFc","authorized","public"
"AEQ6FoItYqo","拍照惊奇","https://www.youtube.com/watch?v=AEQ6FoItYqo","authorized","public"
"VtiheT4YSgU","我要幸福","https://www.youtube.com/watch?v=VtiheT4YSgU","authorized","public"
"LZsEeOkV7CU","我要奋斗","https://www.youtube.com/watch?v=LZsEeOkV7CU","authorized","public"
"QEG5NHG_ipM","我要反三俗","https://www.youtube.com/watch?v=QEG5NHG_ipM","authorized","public"
"QonA0cdVSs0","我要上春晚","https://www.youtube.com/watch?v=QonA0cdVSs0","authorized","public"
"S84Kq54frso","我是文学家","https://www.youtube.com/watch?v=S84Kq54frso","authorized","public"
"jiBPUGzINok","夸住宅加返场","https://www.youtube.com/watch?v=jiBPUGzINok","authorized","public"
"v1-CBoQWuVc","天津专场爆笑大返场破纪录的25次大返场 高清版","https://www.youtube.com/watch?v=v1-CBoQWuVc","authorized","public"
"H5kjw_rQ4uM","四大名著","https://www.youtube.com/watch?v=H5kjw_rQ4uM","authorized","public"
"tAjHdsasiyM","你要折腾","https://www.youtube.com/watch?v=tAjHdsasiyM","authorized","public"
"wohvQSOAYL8","五毒论","https://www.youtube.com/watch?v=wohvQSOAYL8","authorized","public"
"uEPjIOWgW_4","2006 11 03德云社十周年经典大返场","https://www.youtube.com/watch?v=uEPjIOWgW_4","authorized","public"
"fqV_lnxzFxA","2005 8 20 报菜名","https://www.youtube.com/watch?v=fqV_lnxzFxA","authorized","public"
"2ZZLDxs7zL0","2005 8 7 黄鹤楼","https://www.youtube.com/watch?v=2ZZLDxs7zL0","authorized","public"
"H-MSGC1MfSM","2005 7 31 醋点灯","https://www.youtube.com/watch?v=H-MSGC1MfSM","authorized","public"
"HrlNbgB7Cw0","2005 6 12 托妻献子","https://www.youtube.com/watch?v=HrlNbgB7Cw0","authorized","public"
"MtB-Yvi_HTk","2005 5 28 郭德纲 于谦 返场小段集（各家媳妇的故事）","https://www.youtube.com/watch?v=MtB-Yvi_HTk","authorized","public"
"pJMDQkDYzrg","2005 5 6 大相面郭德纲 李菁","https://www.youtube.com/watch?v=pJMDQkDYzrg","authorized","public"
"_vGDdkSpgh4","2005 5 3 郭德纲 李文山攒底活－打灯谜＋八扇屏＋徐德亮媳妇的故事","https://www.youtube.com/watch?v=_vGDdkSpgh4","authorized","public"
"mxpnsKx-Njk","2005 2 26 色即是空 郭德纲李菁","https://www.youtube.com/watch?v=mxpnsKx-Njk","authorized","public"
"q2OdlCvN_Zo","北京相声大会   小段   穷富论   郭德纲","https://www.youtube.com/watch?v=q2OdlCvN_Zo","authorized","public"
"0bYAIntNp-g","北京相声大会   20041127   第1部第1集   失传曲目专场 赌论","https://www.youtube.com/watch?v=0bYAIntNp-g","authorized","public"
"6DrlrfY8J_s","北京相声大会   20041128   第1部第6集   综合专场 师傅经 clip","https://www.youtube.com/watch?v=6DrlrfY8J_s","authorized","public"
"_SFv7mHFgpY","北京相声大会   20041212   第2部第1集 豆腐堂会 clip","https://www.youtube.com/watch?v=_SFv7mHFgpY","authorized","public"
"O9csrmZSIYI","北京相声大会   20041218   第2部第4集 梦中婚 clip","https://www.youtube.com/watch?v=O9csrmZSIYI","authorized","public"
"0KsDrWGpjGM","北京相声大会   20041219   卖布头","https://www.youtube.com/watch?v=0KsDrWGpjGM","authorized","public"
"Yz9wWn7_eZs","北京相声大会   20050215   群口相声专场 双簧","https://www.youtube.com/watch?v=Yz9wWn7_eZs","authorized","public"
"psQaQX6Puuo","2005 05 01 郭德纲 北京相声大会专场@卖五器 怯洗澡 窦公训女","https://www.youtube.com/watch?v=psQaQX6Puuo","authorized","public"
"AfVctY-f7kE","北京相声大会   20050605   大字专场   大福寿全","https://www.youtube.com/watch?v=AfVctY-f7kE","authorized","public"
"ja_ZoJidbDo","北京相声大会   20050709   郭德纲专场   精华版 大保镖","https://www.youtube.com/watch?v=ja_ZoJidbDo","authorized","public"
"tUzDsVyMQg0","四位文字辈老先生濒临失传的相声专题","https://www.youtube.com/watch?v=tUzDsVyMQg0","authorized","public"
"ajjR0OoJrdA","郭德纲 张文顺 返场小段","https://www.youtube.com/watch?v=ajjR0OoJrdA","authorized","public"
"876m42rL28g","郭德纲 于谦-返场段1","https://www.youtube.com/watch?v=876m42rL28g","authorized","public"
"rBdJqDpeNk8","郭德纲 于谦-返场段2","https://www.youtube.com/watch?v=rBdJqDpeNk8","authorized","public"
"UXPMsyhzWVQ","文章会","https://www.youtube.com/watch?v=UXPMsyhzWVQ","authorized","public"
"rWGj9GkGdXY","白事会","https://www.youtube.com/watch?v=rWGj9GkGdXY","authorized","public"
"O5xT_FyK0sA","郭德纲 于谦－东游记","https://www.youtube.com/watch?v=O5xT_FyK0sA","authorized","public"
"PdUyHztDhnA","民以食为天","https://www.youtube.com/watch?v=PdUyHztDhnA","authorized","public"
"9M29bn0OBgg","郭德纲、张文顺-西征梦","https://www.youtube.com/watch?v=9M29bn0OBgg","authorized","public"
"jZGKgZXWnjQ","郭德纲、于谦-西征梦","https://www.youtube.com/watch?v=jZGKgZXWnjQ","authorized","public"
"MjYnUDaUYyk","郭德纲、王文林-羊上树","https://www.youtube.com/watch?v=MjYnUDaUYyk","authorized","public"
"ba42IURwWPI","报菜名","https://www.youtube.com/watch?v=ba42IURwWPI","authorized","public"
"EGvTgZdr-TA","我要读书","https://www.youtube.com/watch?v=EGvTgZdr-TA","authorized","public"
"0AL67wjhtck","我要旅游","https://www.youtube.com/watch?v=0AL67wjhtck","authorized","public"
"D4kCDCsxZw8","怯跟班","https://www.youtube.com/watch?v=D4kCDCsxZw8","authorized","public"
"C8sRDrFx4rg","我是黑社会","https://www.youtube.com/watch?v=C8sRDrFx4rg","authorized","public"
"XmMcmo6oIP4","我是科学家","https://www.youtube.com/watch?v=XmMcmo6oIP4","authorized","public"
"j4a5NOhDMMY","怯大鼓","https://www.youtube.com/watch?v=j4a5NOhDMMY","authorized","public"
"SHI2dSvgzJw","官衣贺喜","https://www.youtube.com/watch?v=SHI2dSvgzJw","authorized","public"
"QD1XyMwRaNg","寿比南山","https://www.youtube.com/watch?v=QD1XyMwRaNg","authorized","public"
"x5yslyN5KIc","郭德纲 王文林-学西河","https://www.youtube.com/watch?v=x5yslyN5KIc","authorized","public"
"wMadxBykz6c","郭德纲 张文顺-学小曲","https://www.youtube.com/watch?v=wMadxBykz6c","authorized","public"
